customerid,age,gender,income,occupation,location,householdsize,accounttype,accounttenureyears,avgbalance,balancevolatility,loantype,loanamount,creditscore,creditutilizationratio,delinquencycount,monthlytransactions,digitalusage,channelpreference,dormantdays,revenuecontribution,crosssellindex,salarypattern,spendcategory,cluster,segment_name,value_tier,risk_level,digital_level,engagement_status,life_stage,financial_health,product_potential,channel_type,income_category
CUST1186,37,Female,143633,Retired,Hyderabad,1,FD,2,413003.0,0.63,Sme,291126.0,748,0.5,1,5,10,Mobile,280,32433.0,0,Irregular,Utilities,4,Growth Seekers,Silver,Low Risk,Traditional,Dormant,Established Professional,Good,High Cross-sell,Digital First,Upper Middle
CUST1187,47,Female,120386,Self-Employed,Delhi,1,Overdraft,6,127209.0,1.23,Home,262351.0,386,0.44,2,76,48,Web,93,44309.0,4,Stable,Travel,1,Standard Savers,Silver,Medium Risk,Digital Adopter,At Risk,Pre-Retirement,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1188,28,Male,47350,Salaried,Bangalore,4,Current,13,443061.0,1.83,Sme,232041.0,400,0.73,3,91,37,Web,200,68468.0,4,Stable,Mixed,3,Retirement Planners,Gold,Medium Risk,Traditional,Dormant,Young Professional,Poor,Low Cross-sell,Digital First,Lower Income
CUST1189,45,Male,113008,Student,Bangalore,3,FD,19,190004.0,0.5,Personal,350877.0,307,0.77,3,170,63,Mobile,20,45254.0,1,Stable,Utilities,3,Retirement Planners,Silver,Medium Risk,Digital Adopter,Highly Active,Pre-Retirement,Poor,Medium Cross-sell,Digital First,Upper Middle
CUST1190,42,Female,114297,Retired,Bangalore,4,Current,16,93124.0,1.28,Personal,230008.0,499,0.16,1,10,68,Mobile,339,68293.0,1,Stable,Utilities,4,Growth Seekers,Gold,Low Risk,Digital Adopter,Dormant,Established Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1191,56,Male,45351,Salaried,Bangalore,4,FD,11,92659.0,1.3,Sme,124982.0,804,0.61,4,157,7,Mobile,210,97258.0,4,Irregular,E-commerce,0,Premium Loyalists,Gold,High Risk,Traditional,Dormant,Pre-Retirement,Fair,Low Cross-sell,Digital First,Lower Income
CUST1192,50,Female,108668,Retired,Chennai,4,Savings,15,165134.0,1.49,None,0.0,386,0.14,3,149,33,Mobile,139,38853.0,0,Stable,Travel,1,Standard Savers,Silver,Medium Risk,Traditional,At Risk,Pre-Retirement,Fair,High Cross-sell,Digital First,Upper Middle
CUST1193,18,Female,134585,Student,Hyderabad,4,FD,11,76713.0,0.35,None,0.0,342,0.75,1,65,47,Mobile,292,39405.0,2,Stable,Mixed,4,Growth Seekers,Silver,Medium Risk,Digital Adopter,Dormant,Young Professional,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1194,44,Female,166377,Student,Delhi,5,Savings,14,219335.0,1.46,Personal,160400.0,684,0.66,0,16,55,Web,297,67652.0,2,Stable,Utilities,0,Premium Loyalists,Gold,Medium Risk,Digital Adopter,Dormant,Established Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1195,69,Female,95353,Retired,Delhi,5,FD,9,489972.0,1.83,Auto,308623.0,734,0.96,4,10,75,Web,100,44527.0,0,Stable,Utilities,3,Retirement Planners,Silver,High Risk,Digital Native,At Risk,Retired,Fair,High Cross-sell,Digital First,Middle Income
CUST1196,30,Female,85953,Salaried,Bangalore,2,Overdraft,6,454677.0,0.44,None,0.0,707,0.07,2,31,64,ATM,303,78227.0,2,Stable,Mixed,4,Growth Seekers,Gold,Medium Risk,Digital Adopter,Dormant,Established Professional,Good,Medium Cross-sell,Self Service,Middle Income
CUST1197,58,Male,77458,Self-Employed,Bangalore,1,Savings,19,76418.0,0.55,Sme,170963.0,782,0.06,3,140,30,ATM,358,1492.0,3,Stable,Travel,0,Premium Loyalists,Bronze,Medium Risk,Traditional,Dormant,Pre-Retirement,Good,Low Cross-sell,Self Service,Middle Income
CUST1198,20,Male,40358,Student,Mumbai,4,FD,4,460888.0,1.95,None,0.0,316,0.28,1,128,3,Branch,27,94418.0,4,Stable,E-commerce,1,Standard Savers,Gold,Low Risk,Traditional,Highly Active,Young Professional,Good,Low Cross-sell,Relationship Banking,Lower Income
CUST1199,56,Female,23267,Salaried,Hyderabad,2,Overdraft,0,129232.0,0.44,Sme,231055.0,447,0.26,0,110,49,ATM,40,9811.0,4,Irregular,Utilities,1,Standard Savers,Bronze,Low Risk,Digital Adopter,Highly Active,Pre-Retirement,Good,Low Cross-sell,Self Service,Lower Income
